Nr,Code(hex),Ticks(hex),Date,Time,SW(hex),Speed(km/h),Speed1(km/h),Speed2(km/h),Speed3(km/h),Speed4(km/h),Odometer(km),FILL_1,VENT_1,FILL_2,VENT_2,FILL_3,VENT_3,FILL_4,VENT_4,DEVICE_ON,V5,V45,ZERO_SPEED,WSP_FAILURE,V5_2,V30,V5_1,Condition,Description
1,0xA000,0x00000AAC,31-07-2024,13:28:13,0x000,40,40,40,40,40,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,I_POWER_ON
2,0x0017,0x000057D7,31-07-2024,13:28:53,0x000,34,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,AXLE1_LOCK
3,0x0037,0x000057E3,31-07-2024,13:28:53,0x000,34,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,AXLE3_LOCK
4,0x0027,0x000057FB,31-07-2024,13:28:53,0x000,34,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,AXLE2_LOCK
5,0x0047,0x000057FB,31-07-2024,13:28:53,0x000,34,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,AXLE4_LOCK
6,0x6017,0x00005ACB,31-07-2024,13:28:54,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
7,0x6037,0x00005ACB,31-07-2024,13:28:54,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
8,0x6027,0x00005ACB,31-07-2024,13:28:54,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE2_LOCK  GONE
9,0x6047,0x00005ACB,31-07-2024,13:28:54,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
10,0x0027,0x00019B5F,31-07-2024,13:31:39,0x000,41,41,0,41,41,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,AXLE2_LOCK
11,0x6027,0x0001A06F,31-07-2024,13:31:41,0x000,42,42,14,42,42,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,AXLE2_LOCK  GONE
12,0x0027,0x0001ADE3,31-07-2024,13:31:48,0x000,42,42,0,42,42,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,AXLE2_LOCK
13,0x6027,0x0001AF33,31-07-2024,13:31:49,0x000,42,42,17,42,42,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,AXLE2_LOCK  GONE
14,0x0022,0x00043853,31-07-2024,13:37:21,0x000,81,81,0,81,81,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,E_SENS_FR2
15,0x0047,0x0004E08F,31-07-2024,13:38:47,0x000,59,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE4_LOCK
16,0x0037,0x0004E0E3,31-07-2024,13:38:48,0x000,59,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE3_LOCK
17,0x0017,0x0004E0EF,31-07-2024,13:38:48,0x000,59,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE1_LOCK
18,0x6017,0x0004E3D7,31-07-2024,13:38:49,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
19,0x6037,0x0004E3D7,31-07-2024,13:38:49,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
20,0x6047,0x0004E3D7,31-07-2024,13:38:49,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
21,0x0047,0x0004F91F,31-07-2024,13:39:00,0x000,36,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,AXLE4_LOCK
22,0x0017,0x0004F937,31-07-2024,13:39:00,0x000,36,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,AXLE1_LOCK
23,0x0037,0x0004F937,31-07-2024,13:39:00,0x000,36,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,AXLE3_LOCK
24,0x6017,0x0004FC1F,31-07-2024,13:39:02,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
25,0x6037,0x0004FC1F,31-07-2024,13:39:02,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
26,0x6047,0x0004FC1F,31-07-2024,13:39:02,0x000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
27,0xA000,0x00000AAB,31-07-2024,13:39:31,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
28,0xA000,0x00000AAB,31-07-2024,11:04:54,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
29,0x0045,0x00008C92,31-07-2024,11:06:01,0x000,53,13,13,13,13,8,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,E_DV4_TOUT
30,0x0015,0x00008C9E,31-07-2024,11:06:01,0x000,53,13,13,13,13,8,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,E_DV1_TOUT
31,0x0035,0x00008CAA,31-07-2024,11:06:01,0x000,53,13,13,13,13,8,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,E_DV3_TOUT
32,0x0025,0x00008CB6,31-07-2024,11:06:01,0x000,53,12,12,12,12,8,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,E_DV2_OC
33,0x0017,0x0000DD6E,31-07-2024,11:06:42,0x000,44,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,AXLE1_LOCK
34,0x0037,0x0000DD6E,31-07-2024,11:06:42,0x000,44,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,AXLE3_LOCK
35,0x0047,0x0000DD7A,31-07-2024,11:06:42,0x000,44,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,AXLE4_LOCK
36,0x0027,0x0000DD92,31-07-2024,11:06:42,0x000,44,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,AXLE2_LOCK
37,0x6017,0x0000E03E,31-07-2024,11:06:44,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
38,0x6037,0x0000E03E,31-07-2024,11:06:44,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
39,0x6047,0x0000E03E,31-07-2024,11:06:44,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
40,0x6027,0x0000E03E,31-07-2024,11:06:44,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE2_LOCK  GONE
41,0x6045,0x0000E1EE,31-07-2024,11:06:45,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,E_DV4_TOUT GONE
42,0x6015,0x0000E1EE,31-07-2024,11:06:45,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,E_DV1_TOUT GONE
43,0x6035,0x0000E1EE,31-07-2024,11:06:45,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,E_DV3_TOUT GONE
44,0x6025,0x0000E1EE,31-07-2024,11:06:45,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,E_DV2_TOUT GONE
45,0x0017,0x0001377A,31-07-2024,11:07:28,0x000,48,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,AXLE1_LOCK
46,0x0027,0x00013786,31-07-2024,11:07:28,0x000,48,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,AXLE2_LOCK
47,0x0037,0x00013792,31-07-2024,11:07:28,0x000,48,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE3_LOCK
48,0x0047,0x000137AA,31-07-2024,11:07:28,0x000,48,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE4_LOCK
49,0x6017,0x00013A62,31-07-2024,11:07:30,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
50,0x6037,0x00013A62,31-07-2024,11:07:30,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
51,0x6047,0x00013A62,31-07-2024,11:07:30,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
52,0x6027,0x00013A62,31-07-2024,11:07:30,0x000,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE2_LOCK  GONE
53,0x0022,0x00031AE6,31-07-2024,11:11:36,0x000,61,61,0,61,61,10,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,E_SENS_FR2
54,0x0032,0x0007556E,31-07-2024,11:20:50,0x000,62,62,62,0,62,20,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,E_SENS_FR3
55,0xA000,0x00000AAB,31-07-2024,11:22:03,0x000,61,61,61,61,61,20,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,I_POWER_ON
56,0x0022,0x00007EEE,31-07-2024,11:23:03,0x000,62,62,0,62,62,20,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,E_SENS_FR2
57,0x0012,0x0000896E,31-07-2024,11:23:08,0x000,62,0,62,62,62,20,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,E_SENS_FR1
58,0x6022,0x0000EEDE,31-07-2024,11:24:00,0x000,40,0,40,40,40,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,E_SENS_FR2 GONE
59,0x0022,0x0001047A,31-07-2024,11:24:11,0x000,64,0,0,64,64,20,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,E_SENS_FR2
60,0x6012,0x000115DE,31-07-2024,11:24:20,0x000,63,63,63,63,63,20,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,E_SENS_FR1 GONE
61,0x0012,0x000130A2,31-07-2024,11:24:34,0x000,63,0,63,63,63,20,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,E_SENS_FR1
62,0x0042,0x00019F7E,31-07-2024,11:25:30,0x000,65,65,65,65,0,20,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,E_SENS_FR4
63,0xA000,0x00000A92,31-07-2024,12:38:29,0x000,58,58,58,58,58,91,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,I_POWER_ON
64,0xA000,0x00000AAB,31-07-2024,13:45:59,0x000,0,0,0,0,0,91,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
65,0x0047,0x0004308A,31-07-2024,13:55:02,0x000,48,0,0,0,0,91,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,AXLE4_LOCK
66,0x0017,0x000430AE,31-07-2024,13:55:02,0x000,48,0,0,0,0,91,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE1_LOCK
67,0x0027,0x000430AE,31-07-2024,13:55:02,0x000,48,0,0,0,0,91,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE2_LOCK
68,0x0037,0x000430BA,31-07-2024,13:55:02,0x000,48,0,0,0,0,91,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,AXLE3_LOCK
69,0x6047,0x000433C6,31-07-2024,13:55:04,0x000,0,0,0,0,0,91,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
70,0x6017,0x000433C6,31-07-2024,13:55:04,0x000,0,0,0,0,0,91,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
71,0x6027,0x000433C6,31-07-2024,13:55:04,0x000,0,0,0,0,0,91,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE2_LOCK  GONE
72,0x6037,0x000433C6,31-07-2024,13:55:04,0x000,0,0,0,0,0,91,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
73,0xA000,0x00000AAB,01-08-2024,10:46:51,0x000,0,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
74,0xA000,0x00000AAB,01-08-2024,12:32:43,0x000,0,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
75,0xA000,0x00000AAB,01-08-2024,18:05:19,0x000,0,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
76,0xA000,0x00000AAB,01-08-2024,18:22:28,0x000,0,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
77,0xA000,0x00000AAB,01-08-2024,18:25:12,0x000,0,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
78,0x0017,0x0002660E,01-08-2024,18:30:21,0x000,20,0,20,20,20,96,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,AXLE1_LOCK
79,0x0015,0x0002751A,01-08-2024,18:30:29,0x000,20,0,20,20,20,96,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,E_DV1_SC
80,0x0027,0x00029C7A,01-08-2024,18:30:49,0x000,17,0,0,0,0,96,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE2_LOCK
81,0x0037,0x00029C7A,01-08-2024,18:30:49,0x000,17,0,0,0,0,96,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE3_LOCK
82,0x0047,0x00029C7A,01-08-2024,18:30:49,0x000,17,0,0,0,0,96,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE4_LOCK
83,0x6017,0x00029FAA,01-08-2024,18:30:51,0x000,6,0,0,0,0,96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE1_LOCK  GONE
84,0x6027,0x00029FAA,01-08-2024,18:30:51,0x000,6,0,0,0,0,96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE2_LOCK  GONE
85,0x6037,0x00029FAA,01-08-2024,18:30:51,0x000,6,0,0,0,0,96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE3_LOCK  GONE
86,0x6047,0x00029FAA,01-08-2024,18:30:51,0x000,6,0,0,0,0,96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE4_LOCK  GONE
87,0x6015,0x0002A1DE,01-08-2024,18:30:52,0x000,0,0,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,E_DV1_TOUT GONE
88,0xA000,0x00000AAB,06-08-2024,17:06:56,0x000,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,I_POWER_ON
89,0x0047,0x00014752,06-08-2024,17:09:38,0x000,27,0,0,0,0,97,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,AXLE4_LOCK
90,0x0017,0x00014782,06-08-2024,17:09:38,0x000,27,0,0,0,0,97,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE1_LOCK
91,0x0027,0x00014782,06-08-2024,17:09:38,0x000,27,0,0,0,0,97,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE2_LOCK
92,0x0037,0x0001479A,06-08-2024,17:09:38,0x000,27,0,0,0,0,97,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE3_LOCK
93,0x6047,0x00014A3A,06-08-2024,17:09:39,0x000,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE4_LOCK  GONE
94,0x6017,0x00014A3A,06-08-2024,17:09:39,0x000,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE1_LOCK  GONE
95,0x6027,0x00014A3A,06-08-2024,17:09:39,0x000,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE2_LOCK  GONE
96,0x6037,0x00014A3A,06-08-2024,17:09:39,0x000,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,AXLE3_LOCK  GONE
97,0x0047,0x0001634E,06-08-2024,17:09:52,0x000,20,20,20,0,0,101,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,AXLE4_LOCK
98,0x0037,0x0001634E,06-08-2024,17:09:52,0x000,20,20,20,0,0,101,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,AXLE3_LOCK
99,0x6037,0x000164FE,06-08-2024,17:09:53,0x000,20,20,20,14,0,101,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,AXLE3_LOCK  GONE
100,0x0045,0x0001727E,06-08-2024,17:10:00,0x000,20,20,20,20,0,101,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,E_DV4_TOUT
101,0x6047,0x00017D6A,06-08-2024,17:10:05,0x000,20,20,20,20,15,101,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE4_LOCK  GONE
102,0x0017,0x00018ECE,06-08-2024,17:10:14,0x000,20,0,20,20,20,101,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE1_LOCK
103,0x6017,0x00019A4A,06-08-2024,17:10:20,0x000,20,15,20,20,20,101,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE1_LOCK  GONE
104,0x0017,0x0001A146,06-08-2024,17:10:24,0x000,20,0,0,2,20,101,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE1_LOCK
105,0x0027,0x0001A2A2,06-08-2024,17:10:24,0x000,19,0,0,0,1,101,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE2_LOCK
106,0x0037,0x0001A4A6,06-08-2024,17:10:26,0x000,17,0,0,0,0,101,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE3_LOCK
107,0x0047,0x0001A5AE,06-08-2024,17:10:26,0x000,16,0,0,0,0,101,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE4_LOCK
108,0x6047,0x0001A8AE,06-08-2024,17:10:28,0x000,7,0,0,0,0,101,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE4_LOCK  GONE
109,0x6017,0x0001A8AE,06-08-2024,17:10:28,0x000,7,0,0,0,0,101,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE1_LOCK  GONE
110,0x6027,0x0001A8AE,06-08-2024,17:10:28,0x000,7,0,0,0,0,101,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE2_LOCK  GONE
111,0x6037,0x0001A8AE,06-08-2024,17:10:28,0x000,7,0,0,0,0,101,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,AXLE3_LOCK  GONE
112,0x6045,0x0001AB12,06-08-2024,17:10:29,0x000,0,0,0,0,0,101,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,E_DV4_TOUT GONE
113,0x0047,0x000D9C42,06-08-2024,17:36:34,0x000,12,0,0,0,0,101,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,AXLE4_LOCK
114,0x0027,0x000D9C66,06-08-2024,17:36:35,0x000,12,0,0,0,0,101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE2_LOCK
115,0x0017,0x000D9C72,06-08-2024,17:36:35,0x000,12,0,0,0,0,101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE1_LOCK
116,0x0037,0x000D9C72,06-08-2024,17:36:35,0x000,12,0,0,0,0,101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,AXLE3_LOCK
117,0x6047,0x000D9DF2,06-08-2024,17:36:35,0x000,6,0,0,0,0,101,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE4_LOCK  GONE
118,0x6017,0x000D9DF2,06-08-2024,17:36:35,0x000,6,0,0,0,0,101,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE1_LOCK  GONE
119,0x6027,0x000D9DF2,06-08-2024,17:36:35,0x000,6,0,0,0,0,101,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE2_LOCK  GONE
120,0x6037,0x000D9DF2,06-08-2024,17:36:35,0x000,6,0,0,0,0,101,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,AXLE3_LOCK  GONE
